name,year,kilometers_Driven,fuel_Type,transmission,owner_Type,mileage,selling_price,price
Renault Duster 110PS Diesel RxZ Pack,2013,62000,Diesel,Manual,First,19.01 kmpl,7.75,775000
Toyota Corolla Altis G,2012,87615,Petrol,Manual,First,14.53 kmpl,6.75,675000
Mahindra Ssangyong Rexton RX7,2013,72000,Diesel,Automatic,Second,11.18 kmpl,12.5,1250000
Audi A6 2.7 TDI,2010,35000,Diesel,Automatic,First,12.4 kmpl,11.5,1150000
Volkswagen Vento 1.6 Highline,2014,55431,Petrol,Manual,Second,16.09 kmpl,6.98,698000
Maruti Wagon R LXI BSIII,2009,83816,Petrol,Manual,Second,14.0 kmpl,1.85,185000
Maruti Vitara Brezza ZDi Plus,2018,50075,Diesel,Manual,First,24.3 kmpl,8.63,863000
Mahindra KUV 100 mFALCON G80 K6 5str AW,2017,52000,Petrol,Manual,First,18.15 kmpl,4.85,485000
Mercedes-Benz M-Class ML 350 CDI,2013,85000,Diesel,Automatic,First,11.74 kmpl,28,2800000
Volkswagen Polo Diesel Trendline 1.2L,2013,62000,Diesel,Manual,First,22.07 kmpl,5,500000
Maruti Alto LXi,2008,90000,Petrol,Manual,Second,19.7 kmpl,1.25,125000
Tata Nano LX SE,2014,19698,Petrol,Manual,First,25.4 kmpl,1.53,153000
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,2017,22033,Diesel,Manual,First,25.32 kmpl,5.58,558000
Hyundai i20 Magna Optional 1.2,2014,35487,Petrol,Manual,First,18.5 kmpl,4.74,474000
Hyundai Elantra 2.0 SX Option AT,2014,46374,Petrol,Automatic,First,14.62 kmpl,8.85,885000
Toyota Corolla Altis G AT,2016,52001,Petrol,Automatic,First,14.28 kmpl,10.11,1011000
Hyundai Elantra CRDi,2008,58005,Diesel,Manual,Second,14.9 kmpl,4.25,425000
Toyota Innova Crysta 2.7 GX MT,2012,70704,Petrol,Manual,First,11.25 kmpl,10.95,1095000
Hyundai Xcent 1.1 CRDi S,2014,75000,Diesel,Manual,First,24.4 kmpl,3.85,385000
Mahindra Thar CRDe AC,2012,75800,Diesel,Manual,Second,16.55 kmpl,5.5,550000
Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,13648,Diesel,Automatic,First,17.11 kmpl,21.43,2143000
Maruti Swift LDI,2014,52000,Diesel,Manual,First,22.9 kmpl,4.25,425000
Maruti Swift Ldi BSIV,2014,53000,Diesel,Manual,First,17.8 kmpl,3.3,330000
Maruti Swift VDI,2013,65650,Diesel,Manual,First,28.4 kmpl,3.85,385000
Hyundai Grand i10 Sportz,2015,54000,Petrol,Manual,Third,18.9 kmpl,3.6,360000
Volkswagen Vento 2013-2015 1.6 Comfortline,2015,39000,Petrol,Manual,First,15.04 kmpl,3.99,399000
Renault KWID RXT,2017,16542,Petrol,Manual,First,25.17 kmpl,3.3,330000
Hyundai i10 Asta,2010,32000,Petrol,Manual,First,20.36 kmpl,2.07,207000
Nissan X-Trail SLX AT,2010,121812,Diesel,Automatic,First,13.29 kmpl,7.75,775000
Maruti Zen Estilo VXI BSIII,2010,39300,Petrol,Manual,First,18.2 kmpl,2.25,225000
Toyota Innova Crysta 2.4 GX MT 8S,2017,22000,Diesel,Manual,First,13.68 kmpl,16.5,1650000
Ford Figo Diesel Titanium,2010,72000,Diesel,Manual,First,20.0 kmpl,2.75,275000
Mercedes-Benz New C-Class C 200 CGI Avantgarde,2015,58000,Petrol,Automatic,First,11.74 kmpl,26.7,2670000
Mercedes-Benz New C-Class 200 CDI Classic,2011,65000,Diesel,Manual,Second,15.8 kmpl,10,1000000
Tata Indica V2 eLS,2016,178000,Diesel,Manual,First,25.0 kmpl,2.5,250000
Audi A4 2.0 TDI Multitronic,2012,65664,Diesel,Automatic,First,16.55 kmpl,13.5,1350000
Honda City ZX CVT,2007,63000,Petrol,Automatic,Second,16.4 kmpl,1.85,185000
Mercedes-Benz C-Class Progressive C 220d,2019,15369,Diesel,Automatic,First,0.0 kmpl,35.67,3567000
Maruti Ertiga SHVS VDI,2016,63000,Diesel,Manual,First,24.52 kmpl,8.15,815000
Hyundai Creta 1.4 E Plus Diesel,2018,13000,Diesel,Manual,First,22.1 kmpl,10.5,1050000
Porsche Cayenne 2009-2014 Turbo,2008,73000,Petrol,Automatic,First,8.5 kmpl,14.5,1450000
Mahindra XUV500 W8 4WD,2015,55729,Diesel,Manual,First,15.1 kmpl,9.65,965000
Hyundai i10 Sportz 1.2 AT,2012,45178,Petrol,Automatic,First,16.95 kmpl,3.48,348000
Nissan Terrano XV D Pre,2015,56066,Diesel,Manual,First,19.64 kmpl,6.92,692000
Honda Brio VX AT,2016,37300,Petrol,Automatic,Second,16.5 kmpl,6.46,646000
Audi A6 2.0 TDI Design Edition,2014,56000,Diesel,Automatic,Second,18.53 kmpl,29.5,2950000
Ford Fiesta 1.4 SXi TDCi,2008,111111,Diesel,Manual,First,17.8 kmpl,2,200000
Toyota Innova 2.0 G1,2006,230000,Petrol,Manual,Third,12.4 kmpl,4.5,450000
Toyota Innova 2.5 VX 7 STR BSIV,2012,104000,Diesel,Manual,First,12.8 kmpl,11.75,1175000
Hyundai Santro Xing XL,2005,87591,Petrol,Manual,First,0.0 kmpl,1.3,130000
Maruti Swift VDI,2012,95100,Diesel,Manual,First,22.9 kmpl,3.75,375000
Tata Zest Revotron 1.2T XE,2017,70000,Petrol,Manual,First,17.57 kmpl,4.5,450000
Honda Amaze SX i-VTEC,2016,54944,Petrol,Manual,First,18.0 kmpl,4.82,482000
Ford Figo Diesel ZXI,2012,70337,Diesel,Manual,First,20.0 kmpl,2.8,280000
Maruti Ritz VDi,2013,99638,Diesel,Manual,First,23.2 kmpl,3.11,311000
Honda City i VTEC E,2009,52000,Petrol,Manual,First,17.8 kmpl,3.25,325000
BMW 5 Series 2003-2012 525d,2011,75000,Diesel,Automatic,Second,16.73 kmpl,13.9,1390000
Hyundai i10 Sportz 1.2,2009,95980,Petrol,Manual,First,20.36 kmpl,2.25,225000
Hyundai Grand i10 Sportz,2016,16000,Petrol,Manual,First,18.9 kmpl,5.75,575000
Hyundai Santro Xing XO,2007,73745,Petrol,Manual,First,17.0 kmpl,2.1,210000
Honda Amaze SX i-VTEC,2016,18949,Petrol,Manual,First,17.8 kmpl,5,500000
Toyota Fortuner 4x2 Manual,2014,107000,Diesel,Manual,First,13.0 kmpl,16.5,1650000
Audi A6 2011-2015 35 TDI Premium,2018,48367,Diesel,Automatic,First,17.68 kmpl,39.58,3958000
Ford Ecosport 1.5 DV5 MT Titanium Optional,2013,57000,Diesel,Manual,First,22.7 kmpl,5.5,550000
Mahindra XUV500 W8 2WD,2014,58000,Diesel,Manual,First,15.1 kmpl,8.1,810000
Honda Amaze SX i-DTEC,2015,30000,Diesel,Manual,First,25.8 kmpl,3.5,350000
Volkswagen Polo Diesel Highline 1.2L,2013,34212,Diesel,Manual,First,22.07 kmpl,2.79,279000
Hyundai Verna Transform SX VGT CRDi,2010,70002,Diesel,Manual,First,16.2 kmpl,3.45,345000
Maruti Wagon R VXI BS IV,2016,62000,Petrol,Manual,First,18.9 kmpl,4.45,445000
Volkswagen Polo Petrol Highline 1.6L,2010,62001,Petrol,Manual,First,15.26 kmpl,2.65,265000
Hyundai i20 1.4 CRDi Sportz,2011,78958,Diesel,Manual,Second,23.0 kmpl,3.8,380000
Hyundai i20 Asta 1.2,2014,30180,Petrol,Manual,First,18.5 kmpl,4.65,465000
Datsun GO Plus T Petrol,2017,32851,Petrol,Manual,First,19.83 kmpl,3.95,395000
Audi A4 3.0 TDI Quattro Premium,2010,30000,Diesel,Automatic,First,14.94 kmpl,9.8,980000
Hyundai i20 2015-2017 Asta,2009,66000,Petrol,Manual,Second,17.0 kmpl,2.7,270000
Maruti Omni 5 Str STD,2010,93850,Petrol,Manual,First,14.0 kmpl,2.41,241000
Toyota Etios Liva 1.2 G,2014,53000,Petrol,Manual,First,17.71 kmpl,3.9,390000
Jaguar XF 3.0 Litre S Premium Luxury,2011,78000,Diesel,Automatic,Second,14.74 kmpl,24,2400000
Mahindra XUV500 W8 2WD,2012,65000,Diesel,Manual,Second,16.0 kmpl,5.75,575000
Hyundai Verna 1.6 SX CRDI (O) AT,2014,40000,Diesel,Automatic,First,22.32 kmpl,5.25,525000
Toyota Innova Crysta 2.8 ZX AT,2017,30000,Diesel,Automatic,First,11.36 kmpl,19.25,1925000
Maruti Eeco 5 Seater AC,2017,38053,Petrol,Manual,First,15.1 kmpl,3.91,391000
Tata Nano Twist XT,2014,25500,Petrol,Manual,First,25.4 kmpl,2.15,215000
BMW 3 Series 320d Luxury Line,2015,56087,Diesel,Automatic,First,22.69 kmpl,20.75,2075000
Honda Civic 2006-2010 1.8 V MT,2010,71088,Petrol,Manual,First,13.5 kmpl,3.35,335000
Toyota Innova 2.5 VX (Diesel) 7 Seater,2014,55000,Diesel,Manual,First,12.99 kmpl,11.11,1111000
Volvo V40 Cross Country D3,2014,32700,Diesel,Automatic,First,23.3 kmpl,20,2000000
Nissan Micra XV CVT,2016,39882,Petrol,Automatic,First,19.15 kmpl,6.55,655000
BMW 5 Series 2010-2013 525i,2009,128000,Petrol,Automatic,First,10.8 kmpl,7,700000
Maruti Vitara Brezza VDi,2016,55000,Diesel,Manual,First,24.3 kmpl,7.5,750000
Hyundai Santro Xing XL eRLX Euro III,2005,102000,Petrol,Manual,Second,17.0 kmpl,0.85,85000
Mercedes-Benz B Class B200 CDI,2014,53753,Diesel,Automatic,Second,15.0 kmpl,16.75,1675000
Hyundai Verna CRDi 1.6 SX Option,2018,10250,Diesel,Manual,First,22.0 kmpl,10.95,1095000
Maruti Wagon R LXI BS IV,2011,43874,Petrol,Manual,First,18.9 kmpl,2.45,245000
Tata Nano XTA,2017,32684,Petrol,Automatic,First,21.9 kmpl,3.23,323000
Mahindra Scorpio VLX,2014,42000,Diesel,Manual,First,12.05 kmpl,7.75,775000
Mercedes-Benz New C-Class 200 K AT,2009,28352,Petrol,Automatic,First,11.7 kmpl,9.35,935000
Maruti Wagon R LXI CNG,2013,89900,CNG,Manual,First,26.6 km/kg,3.25,325000
Honda CR-V 2.4 MT,2007,47700,Petrol,Manual,Second,10.8 kmpl,5.25,525000
Volkswagen Vento 1.5 TDI Comfortline AT,2015,55000,Diesel,Automatic,First,21.21 kmpl,7.25,725000
Maruti Ciaz VXi Plus,2017,44285,Petrol,Manual,First,20.73 kmpl,7.47,747000
Mahindra XUV500 AT W10 FWD,2016,54000,Diesel,Automatic,First,16.0 kmpl,13.25,1325000
Maruti Ritz VXI ABS,2016,30232,Petrol,Manual,First,21.1 kmpl,5.81,581000
Maruti Alto K10 VXI,2014,88500,Petrol,Manual,First,24.07 kmpl,2.6,260000
Mercedes-Benz SLC 43 AMG,2017,13372,Petrol,Automatic,First,19.0 kmpl,54,5400000
Hyundai Verna VTVT 1.6 AT SX Plus,2019,12645,Petrol,Automatic,First,17.0 kmpl,11.5,1150000
Maruti Alto LXi BSIII,2010,94385,Petrol,Manual,Second,19.7 kmpl,1.6,160000
BMW 1 Series 118d Base,2015,31821,Diesel,Automatic,First,20.58 kmpl,17.22,1722000
Honda Jazz 1.2 V CVT i VTEC,2015,12000,Petrol,Automatic,First,19.0 kmpl,6,600000
Honda Civic 2006-2010 1.8 V MT,2012,88578,Petrol,Manual,First,13.5 kmpl,3.95,395000
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2014,44965,Diesel,Automatic,First,19.27 kmpl,17.95,1795000
Honda Amaze SX i-DTEC,2014,45044,Diesel,Manual,First,25.8 kmpl,3.7,370000
Maruti Swift VVT VXI,2016,34204,Petrol,Manual,First,22.0 kmpl,5.43,543000
Hyundai Santro Xing XO eRLX Euro II,2008,80759,Petrol,Manual,Third,17.0 kmpl,1.67,167000
Toyota Fortuner 3.0 Diesel,2012,91235,Diesel,Manual,First,11.5 kmpl,13.49,1349000
Chevrolet Beat LT Option,2014,38800,Petrol,Manual,First,18.6 kmpl,2.85,285000
Skoda Rapid 1.5 TDI Elegance,2013,83000,Diesel,Manual,First,21.14 kmpl,4.75,475000
Maruti Ciaz 1.4 Alpha,2018,41283,Petrol,Manual,First,20.73 kmpl,9.9,990000
Audi RS5 Coupe,2013,23000,Petrol,Automatic,First,11.05 kmpl,37,3700000
BMW 3 Series Luxury Line,2014,48000,Diesel,Automatic,First,21.76 kmpl,26.5,2650000
Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,48214,Diesel,Automatic,First,17.11 kmpl,23.32,2332000
Maruti Swift VDI,2016,35000,Diesel,Manual,First,22.9 kmpl,6.25,625000
Mercedes-Benz S Class 2005 2013 S 500,2010,35277,Petrol,Automatic,First,7.81 kmpl,30,3000000
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,2016,54620,Diesel,Automatic,First,21.66 kmpl,9.86,986000
Skoda Superb Elegance 2.0 TDI CR AT,2012,136997,Diesel,Automatic,First,17.2 kmpl,8.5,850000
Hyundai EON Magna Plus,2019,14322,Petrol,Manual,First,21.1 kmpl,4.23,423000
Volkswagen Polo Diesel Trendline 1.2L,2012,65634,Diesel,Manual,First,22.07 kmpl,3.5,350000
Datsun GO NXT,2016,6000,Petrol,Manual,First,20.63 kmpl,2.5,250000
Honda Brio S MT,2013,33280,Petrol,Manual,First,19.4 kmpl,2.39,239000
Mercedes-Benz B Class B180,2013,29000,Petrol,Automatic,First,14.8 kmpl,11.25,1125000
Honda City i DTEC V,2015,42831,Diesel,Manual,First,26.0 kmpl,7.11,711000
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,90000,Diesel,Manual,First,12.99 kmpl,10.9,1090000
Maruti Swift VXI Optional,2017,24005,Petrol,Manual,First,20.4 kmpl,6.2,620000
Mahindra XUV500 W8 2WD,2012,32792,Diesel,Manual,First,15.1 kmpl,7.9,790000
Ford Ecosport 1.5 DV5 MT Ambiente,2014,147898,Diesel,Manual,First,22.7 kmpl,4.42,442000
Toyota Fortuner 4x2 Manual,2012,131765,Diesel,Manual,First,13.0 kmpl,13.5,1350000
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,2013,65000,Diesel,Automatic,First,21.5 kmpl,6.25,625000
Ford Figo Diesel Titanium,2010,66123,Diesel,Manual,Second,20.0 kmpl,2.1,210000
BMW X5 xDrive 30d,2015,41000,Diesel,Automatic,First,15.3 kmpl,45,4500000
Mercedes-Benz New C-Class C 220 CDI Style,2017,23550,Diesel,Automatic,First,19.27 kmpl,33.66,3366000
Honda Brio V MT,2012,45000,Petrol,Manual,Second,19.4 kmpl,3.65,365000
Hyundai i10 Magna 1.2,2013,60000,Petrol,Manual,First,20.36 kmpl,2.75,275000
Mercedes-Benz GLC 220,2016,44414,Diesel,Automatic,First,17.9 kmpl,42.5,4250000
Hyundai Grand i10 1.2 Kappa Asta,2019,1000,Petrol,Manual,First,18.9 kmpl,6.5,650000
Audi A6 2011-2015 2.0 TDI Premium Plus,2012,62500,Diesel,Automatic,Second,17.68 kmpl,19,1900000
Volkswagen Vento Petrol Highline AT,2013,21000,Petrol,Automatic,Second,14.4 kmpl,4.45,445000
Mini Countryman Cooper D,2017,8525,Diesel,Automatic,Second,16.6 kmpl,23,2300000
Hyundai i20 Asta 1.4 CRDi,2014,29000,Diesel,Manual,First,22.54 kmpl,8.35,835000
Audi A6 2011-2015 2.0 TDI Premium Plus,2014,40000,Diesel,Automatic,First,17.68 kmpl,22.95,2295000
Chevrolet Beat Diesel LT,2012,88000,Diesel,Manual,First,25.44 kmpl,1.5,150000
Skoda Superb Elegance 1.8 TSI AT,2012,53537,Petrol,Automatic,First,13.7 kmpl,6.89,689000
Ford Fiesta 1.4 TDCi EXI Limited Edition,2006,216000,Diesel,Manual,Second,17.8 kmpl,1.45,145000
BMW 5 Series 520d Luxury Line,2014,51000,Diesel,Automatic,First,22.48 kmpl,33.5,3350000
Chevrolet Optra Magnum 1.6 LS BS3,2007,118500,Petrol,Manual,First,12.9 kmpl,1.25,125000
Volkswagen Polo Diesel Highline 1.2L,2012,63000,Diesel,Manual,First,22.07 kmpl,4.2,420000
Renault Lodgy 110PS RxZ 8 Seater,2015,25000,Diesel,Manual,First,19.98 kmpl,6.75,675000
Mercedes-Benz E-Class E250 CDI Avantgrade,2014,37382,Diesel,Automatic,First,13.0 kmpl,32,3200000
Maruti Baleno Alpha,2017,24773,Petrol,Manual,First,21.4 kmpl,7.5,750000
Hyundai Verna 1.6 SX,2012,62000,Diesel,Manual,First,22.32 kmpl,4.6,460000
Hyundai i10 Magna 1.1,2017,52340,Petrol,Manual,First,19.81 kmpl,4.04,404000
Mahindra Scorpio 1.99 S10 4WD,2016,56739,Diesel,Manual,First,15.4 kmpl,10.31,1031000
Land Rover Range Rover 2.2L Dynamic,2018,36091,Diesel,Automatic,First,12.7 kmpl,55.76,5576000
Ford Figo Diesel ZXI,2010,120000,Diesel,Manual,First,20.0 kmpl,2.6,260000
Maruti Ertiga ZDI,2016,33000,Diesel,Manual,First,25.47 kmpl,8.5,850000
Honda City 1.5 GXI,2007,60006,Petrol,Manual,First,0.0 kmpl,2.95,295000
Honda Amaze S i-Dtech,2014,52000,Diesel,Manual,First,25.8 kmpl,3.5,350000
Hyundai i10 Magna,2015,43571,Petrol,Manual,First,20.36 kmpl,3.55,355000
Honda Amaze S i-Dtech,2013,50000,Diesel,Manual,First,25.8 kmpl,3.25,325000
Skoda Laura Ambiente,2008,113000,Diesel,Manual,First,17.5 kmpl,4.5,450000
Renault Duster 85PS Diesel RxL,2014,90000,Diesel,Manual,First,19.87 kmpl,5.35,535000
Mahindra NuvoSport N6,2017,29000,Diesel,Manual,Second,17.45 kmpl,6.5,650000
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,20000,Diesel,Manual,First,24.3 kmpl,9,900000
Hyundai i20 Asta Option 1.2,2016,61012,Petrol,Manual,First,18.6 kmpl,6,600000
Skoda Fabia 1.4 MPI Ambiente,2009,87459,Petrol,Manual,First,14.7 kmpl,2.75,275000
Tata Indigo eCS GLX,2010,70500,Petrol,Manual,First,15.64 kmpl,1.5,150000
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,2015,64103,Diesel,Automatic,First,15.73 kmpl,19.9,1990000
Skoda Octavia Elegance 1.8 TSI AT,2014,76000,Petrol,Automatic,First,14.7 kmpl,10,1000000
Toyota Etios Liva GD SP,2014,104000,Diesel,Manual,First,23.59 kmpl,3,300000
Maruti Swift 1.3 VXi,2010,42001,Petrol,Manual,First,16.1 kmpl,2.11,211000
Mercedes-Benz B Class B180,2014,37245,Petrol,Automatic,First,14.8 kmpl,11.96,1196000
Honda Amaze S Diesel,2013,45000,Diesel,Manual,First,27.4 kmpl,3.25,325000
Hyundai Verna 1.6 SX,2012,117837,Diesel,Manual,Second,22.32 kmpl,4.75,475000
Renault Duster 85PS Diesel RxL Optional,2014,30000,Diesel,Manual,First,20.46 kmpl,5.95,595000
Hyundai Creta 1.6 VTVT S,2015,27057,Petrol,Manual,Second,15.29 kmpl,8.15,815000
Maruti Wagon R AMT VXI,2016,8500,Petrol,Automatic,First,20.51 kmpl,4.22,422000
Mercedes-Benz New C-Class C250 Avantgarde,2010,30500,Petrol,Automatic,First,11.74 kmpl,10.5,1050000
Audi A8 L 3.0 TDI quattro,2012,56000,Diesel,Automatic,First,11.8 kmpl,45,4500000
Hyundai i10 Magna 1.1,2012,44000,Petrol,Manual,Second,19.81 kmpl,2.9,290000
Skoda Rapid 1.6 MPI AT Style Black Package,2017,10500,Petrol,Automatic,First,14.3 kmpl,8.9,890000
Skoda Superb Style 1.8 TSI AT,2017,26000,Petrol,Automatic,First,14.67 kmpl,26,2600000
Hyundai i20 Active 1.2 SX,2018,25166,Petrol,Manual,First,17.19 kmpl,8.22,822000
Honda Amaze VX i-DTEC,2014,64000,Diesel,Manual,Second,25.8 kmpl,3.5,350000
Maruti Wagon R LXI,2004,61000,Petrol,Manual,Second,18.9 kmpl,1.25,125000
Mahindra Verito 1.5 D4 BSIV,2013,107000,Diesel,Manual,First,21.03 kmpl,3.7,370000
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2018,29161,Diesel,Automatic,First,19.27 kmpl,39.41,3941000
Maruti Wagon R VXI,2013,32000,Petrol,Manual,First,22.5 kmpl,2.65,265000
Nissan Terrano XV Premium 110 PS Anniversary Edition,2015,46173,Diesel,Manual,Second,19.01 kmpl,8.92,892000
Maruti Swift VDI BSIV,2013,47000,Diesel,Manual,First,17.8 kmpl,4.1,410000
Mini Cooper Convertible S,2017,26327,Petrol,Automatic,First,16.82 kmpl,35.67,3567000
Ford Figo Diesel,2015,70436,Diesel,Manual,First,0.0 kmpl,3.6,360000
Tata Indica V2 DLS BSII,2007,200000,Diesel,Manual,Second,17.2 kmpl,0.85,85000
Chevrolet Beat LT,2016,60813,Petrol,Manual,Second,18.6 kmpl,3.32,332000
Volkswagen Polo Diesel Comfortline 1.2L,2012,45000,Diesel,Manual,First,22.07 kmpl,3.6,360000
Maruti Swift ZDi,2016,64000,Diesel,Manual,First,22.9 kmpl,6.8,680000
Ford Figo Diesel EXI,2012,41284,Diesel,Manual,First,20.0 kmpl,2.5,250000
Toyota Innova Crysta 2.8 GX AT,2019,14165,Diesel,Automatic,First,11.36 kmpl,19.64,1964000
Hyundai Santa Fe 4x4 AT,2011,67000,Diesel,Automatic,Second,11.72 kmpl,7,700000
Honda City i-VTEC V,2011,32572,Petrol,Manual,First,17.4 kmpl,3.87,387000
Hyundai i20 1.2 Magna Executive,2018,14960,Petrol,Manual,First,18.6 kmpl,6.27,627000
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2015,55980,Diesel,Automatic,First,19.27 kmpl,18.12,1812000
Chevrolet Beat Diesel LT,2013,74000,Diesel,Manual,First,25.44 kmpl,2.65,265000
Hyundai i20 Sportz 1.4 CRDi,2015,56847,Diesel,Manual,First,22.54 kmpl,7.2,720000
Toyota Innova 2.5 Z Diesel 7 Seater,2015,121374,Diesel,Manual,First,12.99 kmpl,14.3,1430000
Maruti Ertiga VDI,2013,52000,Diesel,Manual,First,20.77 kmpl,6.9,690000
Toyota Innova 2.5 V Diesel 7-seater,2014,118000,Diesel,Manual,First,12.8 kmpl,10.75,1075000
Hyundai Santro Xing XO eRLX Euro II,2007,72000,Petrol,Manual,Third,17.0 kmpl,0.95,95000
Honda City i VTEC V,2016,33915,Petrol,Manual,First,17.8 kmpl,8.09,809000
BMW X1 sDrive20d,2014,82002,Diesel,Automatic,First,17.05 kmpl,18.5,1850000
Hyundai Grand i10 CRDi Era,2017,33000,Diesel,Manual,First,24.0 kmpl,4.75,475000
Maruti Ciaz 1.3 Alpha,2016,34000,Diesel,Manual,First,28.09 kmpl,8.45,845000
Skoda Rapid Leisure 1.6 TDI MT,2012,55000,Diesel,Manual,First,20.5 kmpl,3.5,350000
Hyundai Accent CRDi,2006,160538,Diesel,Manual,First,13.1 kmpl,1.8,180000
Volkswagen Polo GT 1.5 TDI,2014,60000,Diesel,Manual,Second,19.91 kmpl,3.7,370000
Honda Jazz 1.2 VX i VTEC,2017,49575,Petrol,Manual,First,18.7 kmpl,7.17,717000
Hyundai i10 Era,2010,83000,Petrol,Manual,First,19.81 kmpl,1.75,175000
Hyundai Tucson 2.0 e-VGT 2WD AT GLS,2018,51346,Diesel,Automatic,First,16.38 kmpl,21.99,2199000
Toyota Innova Crysta 2.4 ZX MT,2017,43000,Diesel,Manual,First,13.68 kmpl,18.65,1865000
Maruti Omni MPI CARGO BSIII W/ IMMOBILISER,2011,35000,Petrol,Manual,Third,19.7 kmpl,1.85,185000
Maruti Swift VXI BSIV,2017,27872,Petrol,Manual,Second,20.4 kmpl,5.95,595000
Hyundai Grand i10 Magna,2014,16514,Petrol,Manual,First,18.9 kmpl,3.75,375000
Maruti Swift VDI,2012,120000,Diesel,Manual,First,22.9 kmpl,3.75,375000
Hyundai Verna CRDi 1.6 SX,2008,143275,Diesel,Manual,First,22.0 kmpl,2.6,260000
Hyundai Santro Xing XL,2006,99000,Petrol,Manual,First,0.0 kmpl,1.75,175000
Hyundai i20 1.2 Sportz,2010,52000,Petrol,Manual,First,17.0 kmpl,2.8,280000
Mercedes-Benz GLE 350d,2017,29819,Diesel,Automatic,First,11.57 kmpl,61.29,6129000
Mercedes-Benz New C-Class C 220 CDI CLASSIC,2014,57000,Diesel,Manual,Second,15.8 kmpl,18,1800000
Maruti Ritz ZDi,2014,88500,Diesel,Manual,First,23.2 kmpl,4.35,435000
Hyundai Creta 1.6 CRDi SX,2016,28000,Diesel,Manual,First,19.67 kmpl,13.75,1375000
Maruti A-Star Vxi,2010,67000,Petrol,Manual,First,19.0 kmpl,2,200000
